Date,B1 Number of Dealers ('000),"Category 
Number of Dealers ('000)",C1,C2,C3,C4,C5,C6,C7
Oct-01,16 ,88 ,75 ,16 ,5 ,4 ,4 ,7 ,2 
Nov-01,19 ,88 ,76 ,17 ,5 ,4 ,4 ,8 ,2 
Dec-01,19 ,88 ,76 ,17 ,5 ,4 ,4 ,8 ,2 
Jan-02,19 ,88 ,76 ,17 ,5 ,4 ,4 ,7 ,2 
Feb-02,19 ,88 ,76 ,17 ,5 ,4 ,4 ,7 ,2 
Mar-02,19 ,89 ,77 ,17 ,5 ,4 ,3 ,7 ,2 
Apr-02,19 ,89 ,77 ,17 ,5 ,4 ,3 ,7 ,2 
May-02,19 ,89 ,77 ,16 ,4 ,4 ,3 ,6 ,2 
Jun-02,19 ,89 ,77 ,16 ,4 ,4 ,3 ,6 ,2 
Jul-02,20 ,89 ,78 ,16 ,4 ,4 ,3 ,6 ,2 
Aug-02,20 ,89 ,78 ,16 ,4 ,4 ,3 ,6 ,2 
Sep-02,21 ,89 ,78 ,16 ,3 ,4 ,3 ,5 ,2 
Oct-02,21 ,89 ,78 ,16 ,3 ,4 ,3 ,5 ,2 
Nov-02,20 ,90 ,79 ,16 ,3 ,3 ,3 ,5 ,1 
Dec-02,20 ,90 ,79 ,16 ,3 ,3 ,3 ,5 ,1 
Jan-03,22 ,90 ,80 ,16 ,3 ,3 ,3 ,5 ,2 
Feb-03,22 ,90 ,80 ,16 ,3 ,3 ,3 ,5 ,2 
Mar-03,23 ,90 ,79 ,16 ,3 ,3 ,3 ,5 ,2 
Apr-03,23 ,90 ,79 ,16 ,3 ,3 ,3 ,5 ,2 
May-03,23 ,90 ,79 ,17 ,3 ,3 ,4 ,6 ,2 
Jun-03,23 ,90 ,79 ,17 ,3 ,3 ,4 ,6 ,2 
Jul-03,24 ,89 ,78 ,17 ,3 ,3 ,3 ,5 ,2 
Aug-03,24 ,89 ,78 ,17 ,3 ,3 ,3 ,5 ,2 
Sep-03,25 ,89 ,78 ,17 ,3 ,3 ,3 ,5 ,1 
Oct-03,25 ,89 ,78 ,17 ,3 ,3 ,3 ,5 ,1 
Nov-03,22 ,82 ,70 ,14 ,3 ,3 ,2 ,5 ,1 
Dec-03,22 ,86 ,73 ,15 ,3 ,3 ,2 ,5 ,1 
Jan-04,23 ,88 ,76 ,14 ,3 ,3 ,2 ,5 ,1 
Feb-04,23 ,89 ,75 ,14 ,3 ,3 ,2 ,5 ,1 
Mar-04,23 ,88 ,75 ,15 ,3 ,3 ,2 ,5 ,1 
Apr-04,23 ,88 ,76 ,14 ,3 ,3 ,2 ,5 ,1 
May-04,24 ,87 ,76 ,14 ,3 ,3 ,2 ,5 ,1 
Jun-04,25 ,88 ,76 ,14 ,3 ,3 ,2 ,5 ,1 
Jul-04,25 ,87 ,75 ,14 ,3 ,3 ,2 ,4 ,1 
Aug-04,26 ,88 ,76 ,14 ,3 ,3 ,2 ,4 ,1 
Sep-04,26 ,87 ,75 ,15 ,3 ,3 ,2 ,5 ,1 
Oct-04,27 ,87 ,75 ,14 ,3 ,3 ,2 ,5 ,1 
