Date,B1 Normalised GRP's (30 seconds),"Category 
Normalised GRP's (30 seconds)",C1,C2,C3,C4,C5,C6,C7
Oct-01,,,,,,,,,
Nov-01,,,,,,,,,
Dec-01,923 ,"2,214 "," 1,271 ", 21 ,,,,,
Jan-02,"1,329 ","1,329 ", -   , -   ,,,,,
Feb-02,"2,075 ","2,091 ", -   , 16 ,,,,,
Mar-02,"2,211 ","3,121 ", 898 , 12 ,,,,,
Apr-02,"1,613 ","1,613 ", -   , -   ,,,,,
May-02,"1,423 ","2,096 ", -   , 673 ,,,,,
Jun-02,672 ,"1,087 ", -   , 415 ,,,,,
Jul-02,"1,415 ","1,469 ", -   , 54 ,,,,,
Aug-02,"1,321 ","1,385 ", -   , 64 ,,,,,
Sep-02,"1,713 ","1,713 ", -   , -   ,,,,,
Oct-02,"1,467 ","1,467 ", -   , -   ,,,,,
Nov-02,386 ,386 , -   , -   ,,,,,
Dec-02,273 ,"1,218 ", 945 , -   ,,,,,
Jan-03, 105 ,373 , 269 ,,,,,,
Feb-03, 75 ,75 ,,,,,,,
Mar-03, 444 ,444 ,,,,,,,
Apr-03, 559 ,563 ,,,,,,,
May-03, 384 ,411 ,,,,,,,
Jun-03, 513 ,"1,317 ", 788 ,,,,,,
Jul-03, 229 ,"2,010 "," 1,760 ",,,,,,
Aug-03, 551 ,"1,081 ", 518 ,,,,,,
Sep-03, 371 ,"1,387 "," 1,004 ",,,,,,
Oct-03, 607 ,"1,719 "," 1,095 ",,,,,,
Nov-03, 676 ,676 ,,,,,,,
Dec-03, 345 ,345 ,,,,,,,
Jan-04, 15 ,15 ,,,,,,,
Feb-04, 224 ,224 ,,,,,,,
Mar-04, 941 ,"3,995 "," 3,054 ",,,,,,
Apr-04, 626 ,"2,477 "," 1,851 ",,,,,,
May-04, 885 ,"2,341 "," 1,456 ",,,,,,
Jun-04, 948 ,"1,890 ", 942 ,,,,,,
Jul-04, 19 ,"1,094 "," 1,075 ",,,,,,
Aug-04, 17 ,"1,050 "," 1,033 ",,,,,,
Sep-04, 671 ,"1,871 "," 1,200 ",,,,,,
Oct-04, 11 ,599 , 588 ,,,,,,
,,,,,,,,,
